fips,county,gini_index,share_same_house_1_year_ago,share_moved_within_same_county,share_moved_diff_county_same_state,share_moved_diff_state,share_moved_from_abroad,share_drive_commute,share_public_transit_commute,share_bike_commute,share_walk_commute,share_other_commute,share_5min_commute,share_5to10_commute,share_10to14_commute,share_15to19_commute,share_20to24_commute,share_25to29_commute,share_30to34_commute,share_35to39_commute,share_40to44_commute,share_45to59_commute,share_60to89_commute,share_90plus_commute,share_married_with_own_children,share_married_with_no_own_children,share_single_man_with_own_children,share_single_man_with_no_own_children,share_single_woman_with_own_children,share_single_woman_with_no_own_children,median_household_income,total_housing_units,share_vacant,share_owner_occupied,share_renter_occupied,average_household_size,share_sfh_detached,share_sfh_attached,share_duplex,share_3to4_units,share_5to9_units,share_10to19_units,share_20to49_units,share_50plus_units,share_mobile_homes,share_boat_rv_van,median_year_structure_built,median_contract_rent,median_gross_rent,median_utilities,rent_burden,median_property_value,median_real_estate_taxes_paid,median_monthly_housing_costs
12035,"Flagler County, Florida",0.4306,0.893241363,0.0438361,0.022241383,0.035752778,0.004928377,0.898574414,0.002813656,0.004367865,0.004743019,0.014604212,0.012803059,0.098745764,0.194826637,0.146539988,0.122440112,0.053442632,0.127538163,0.034991165,0.053471599,0.075254178,0.055615097,0.024331605,0.185352113,0.626816901,0.024375587,0.031812207,0.064150235,0.067492958,48898,49657,0.231729666,0.745935971,0.254064029,2.68,0.783897537,0.057252754,0.010270455,0.010914876,0.007813601,0.020540911,0.016654248,0.044626135,0.047928792,0.000100691,1998,892,1079,187,30,174700,1674,929
12037,"Franklin County, Florida",0.4886,0.81649255,0.052663127,0.100702175,0.028686419,0.001455729,0.88040105,0.007161614,0.00525185,0.03103366,0.027452853,0.111417817,0.210037641,0.172647428,0.145796738,0.08055207,0.034629862,0.124215809,0.010539523,0.011543287,0.02685069,0.048431619,0.023337516,0.184434968,0.607675906,0.030206112,0.029140014,0.052594172,0.095948827,40301,8580,0.504662005,0.731417045,0.268582955,2.33,0.666550117,0.021445221,0.023892774,0.017132867,0.058974359,0.002797203,0.004312354,0,0.204895105,0,1985,530,723,193,25.3,124500,1008,707
12047,"Hamilton County, Florida",0.4704,0.804334105,0.049021671,0.140192159,0.006381934,7.01E-05,0.925634983,0.002356638,0.001571092,0.013877979,0.019638649,0.106035889,0.084828711,0.160413268,0.123708537,0.144915715,0.097607395,0.144915715,0.039151713,0.03153888,0.046764546,0.008972268,0.011147363,0.187162567,0.450209958,0.023995201,0.052189562,0.146970606,0.139472106,38980,5701,0.172601298,0.725041066,0.274958934,2.32,0.512366252,0.00245571,0.034555341,0.014032626,0.015611296,0,0.00157867,0,0.417119804,0.002280302,1988,359,571,212,28.6,71000,722,513
12077,"Liberty County, Florida",0.4455,0.845788126,0.028160429,0.114592222,0.010483969,0.000975253,0.893421536,0.04152885,0,0.010290334,0.031238515,0.057207377,0.101242002,0.076401957,0.124952954,0.091832894,0.054572826,0.081294693,0.021452766,0.086563794,0.141512985,0.12194204,0.041023711,0.252657911,0.437773609,0.102564103,0.063164478,0.070043777,0.073796123,37917,3455,0.316063676,0.714855286,0.285144714,2.87,0.495513748,0.010998553,0.006657019,0,0.001736614,0,0.002315485,0,0.479305355,0.003473227,1987,404,574,170,20.1,69500,557,532
12119,"Sumter County, Florida",0.4344,0.856782586,0.042438722,0.036218034,0.058640828,0.00591983,0.821026453,0.004567036,0.002667872,0.008636672,0.073660411,0.029547599,0.114267269,0.167154988,0.196106669,0.131946169,0.034016984,0.119680191,0.026766648,0.025872772,0.075482942,0.052341461,0.026816308,0.046055171,0.867209074,0.008551831,0.012768358,0.025744573,0.039670992,52594,63694,0.225013345,0.890136273,0.109863727,2.11,0.807799793,0.004992621,0.003281314,0.006766728,0.003014413,0.003265614,0.001884008,0.010487644,0.154425849,0.004082017,2003,648,808,160,33.4,227000,2138,618
12039,"Gadsden County, Florida",0.4458,0.873163811,0.038087962,0.0798865,0.005325767,0.00353596,0.948513505,0.00210149,0,0.010816491,0.022869151,0.030141287,0.069827316,0.10411303,0.08533752,0.120376766,0.072590267,0.19610675,0.057205651,0.052370487,0.136012559,0.053124019,0.022794349,0.191892832,0.419711204,0.019832985,0.041753653,0.172146834,0.154662491,38533,19411,0.130132399,0.704214015,0.295785985,2.5,0.6410798,0.006285096,0.011436814,0.030189068,0.024007006,0.001597033,0.003709237,0.002318273,0.277729123,0.00164855,1984,474,693,219,31.7,105100,878,663
12059,"Holmes County, Florida",0.4492,0.849408132,0.041893978,0.078281009,0.029850746,0.000566135,0.943348588,0.002367051,0.00094682,0.009941613,0.011835253,0.021997719,0.105751996,0.119276519,0.102330129,0.149747434,0.040084732,0.17679648,0.038781163,0.028515561,0.081798925,0.095812286,0.039107056,0.229723805,0.530030688,0.031126699,0.039237177,0.092941692,0.076939939,37437,8571,0.205576946,0.78171958,0.21828042,2.6,0.657682884,0.004316883,0.01213394,0.00653366,0.00700035,0.002566795,0.001983433,0,0.304631898,0.003150158,1983,423,656,233,39.2,90700,592,523
12071,"Lee County, Florida",0.4768,0.835545547,0.091542524,0.023097494,0.041668827,0.008145608,0.892846143,0.008746118,0.007710833,0.010323165,0.023106523,0.018881515,0.068338726,0.116071921,0.144250525,0.159640712,0.066583221,0.183115667,0.035157326,0.0421636,0.094521723,0.049606783,0.02166828,0.193273322,0.582170025,0.034670699,0.029091506,0.091394447,0.069400002,50390,377081,0.315574107,0.648173084,0.351826916,2.6,0.538929302,0.080897738,0.026805912,0.041754955,0.04815411,0.058446329,0.057144221,0.043004023,0.103723073,0.001140339,1992,821,984,163,31.6,171100,1759,939
12083,"Marion County, Florida",0.4409,0.845646928,0.082694871,0.037868421,0.030468094,0.003321687,0.904728555,0.002170173,0.002688939,0.01445629,0.013617617,0.023587124,0.078442401,0.130356204,0.174856384,0.182878588,0.081577516,0.137935804,0.035306918,0.031369584,0.061125506,0.040599729,0.021964241,0.17447391,0.586529315,0.023978562,0.035996845,0.095821443,0.083199926,40295,163786,0.19237908,0.725987294,0.274012706,2.5,0.660520435,0.024428217,0.013871759,0.026443042,0.02775573,0.015465302,0.006661131,0.007827287,0.216038001,0.000989096,1991,639,819,180,31.7,114400,1180,701
12021,"Collier County, Florida",0.5298,0.838102836,0.083901661,0.024344042,0.042828341,0.01082312,0.855099401,0.027011173,0.011597419,0.015017986,0.017894372,0.024505392,0.098105465,0.140442668,0.178074042,0.165009076,0.060634257,0.151196669,0.024497765,0.037875437,0.064646033,0.035869549,0.019143646,0.191679348,0.614392176,0.030693313,0.028343479,0.073281264,0.06161042,59783,203899,0.346092919,0.671015719,0.328984281,2.58,0.409918636,0.050716286,0.033634299,0.071530513,0.100961751,0.10405642,0.085468786,0.088558551,0.054443622,0.000711136,1992,975,1125,150,32.5,291900,2132,1129
