Series ID,Region Name,county_fips,2009,2010,2011,2012,2013,2014,2015,2016
RACEDISPARITY051015,"Augusta County, VA",51015,42.62333338,39.76857574,34.12421577,37.06153654,32.71521236,28.22311731,28.00565166,26.08581171
RACEDISPARITY046003,"Aurora County, SD",46003,0,0,0,0,0,0,0,
RACEDISPARITY048015,"Austin County, TX",48015,20.5713854,23.59699684,21.40563797,23.40412358,23.03869631,20.70954328,21.18728108,21.0149725
RACEDISPARITY001001,"Autauga County, AL",1001,28.65844228,25.86468789,28.0313928,30.57897073,31.35236945,27.31915897,30.14769453,22.79784204
RACEDISPARITY037011,"Avery County, NC",37011,15.8095179,21.91124639,18.38107395,20.53211513,22.45056014,24.36860101,28.11797355,27.39854702
RACEDISPARITY022009,"Avoyelles Parish, LA",22009,38.10765172,35.61827114,34.70969165,32.92534392,30.96724367,32.62059808,35.61997524,31.34851022
RACEDISPARITY008009,"Baca County, CO",8009,19.91004267,22.32097326,0.090554033,6.357173213,7.79795672,9.615690948,6.502524573,5.558487288
RACEDISPARITY013005,"Bacon County, GA",13005,4.940108445,11.11382989,20.66387345,16.92066878,15.28266461,15.38207877,20.06176465,12.92873739
RACEDISPARITY048017,"Bailey County, TX",48017,0,0,0,0,0,0,0,
RACEDISPARITY012003,"Baker County, FL",12003,17.36731873,22.44657319,15.90033267,20.88989631,24.66857876,25.77657509,29.73815645,24.83318989
RACEDISPARITY041001,"Baker County, OR",41001,28.5810383,30.88857126,26.92651942,34.7340221,34.96391474,31.49830806,29.57136053,27.96101705
RACEDISPARITY013007,"Baker County, GA",13007,2.304341295,5.631359852,0.825140634,3.299291628,23.66958722,22.68491483,24.21689797,13.13543458
RACEDISPARITY013009,"Baldwin County, GA",13009,27.87587076,24.19936858,23.95850738,21.00759633,18.40816605,15.40105375,15.4796921,15.14406484
RACEDISPARITY001003,"Baldwin County, AL",1003,34.49976713,33.82520518,33.20847964,31.09688772,29.56837035,28.01834445,26.25320938,24.51004019
RACEDISPARITY021007,"Ballard County, KY",21007,3.960119223,1.868743547,6.476124373,3.123861961,2.519362515,12.64575688,7.051236725,7.567478239
RACEDISPARITY024510,"Baltimore City, MD",24510,65.957212,64.58912993,63.32363929,64.03640662,63.42865616,63.11318379,63.11683214,62.32519817
RACEDISPARITY024005,"Baltimore County, MD",24005,54.25846844,53.67117623,53.21559809,53.42192417,52.27875862,51.35384798,51.38116917,51.35499783
RACEDISPARITY045009,"Bamberg County, SC",45009,30.72840368,33.96683464,41.14824892,39.35818629,41.63216923,38.836476,33.41548246,35.29963156
RACEDISPARITY048019,"Bandera County, TX",48019,17.85198656,15.75733587,5.185433584,13.09612868,3.497076425,8.801030546,8.830004539,10.45243864
RACEDISPARITY013011,"Banks County, GA",13011,6.995356214,16.51954293,12.74260535,12.59867506,4.472058161,7.692467944,13.91536348,8.790788061
RACEDISPARITY031007,"Banner County, NE",31007,0,0,0,0,0,0,0,
RACEDISPARITY016005,"Bannock County, ID",16005,18.66757004,23.20291015,25.08008124,24.54635047,23.21008986,22.52529253,20.69126828,19.83860722
RACEDISPARITY026013,"Baraga County, MI",26013,40.69957414,39.95433289,38.12370048,42.27023474,47.68499513,52.49909136,52.52051482,50.09258872
RACEDISPARITY020007,"Barber County, KS",20007,21.59367248,13.08298925,36.50889205,18.46120782,1.331968154,4.690273283,14.52856642,15.44575774
RACEDISPARITY054001,"Barbour County, WV",54001,38.80461763,21.76139865,32.38594897,31.10067026,38.04312161,31.23975139,32.28626297,30.78902701
RACEDISPARITY001005,"Barbour County, AL",1005,18.6215672,17.56942171,19.03911925,23.8071149,23.04352177,22.18387808,17.5500284,20.49140535
RACEDISPARITY038003,"Barnes County, ND",38003,36.31947444,46.4061585,36.32835634,41.37098512,42.70983727,39.3901517,44.20229301,22.84854372
RACEDISPARITY025001,"Barnstable County, MA",25001,30.73881431,32.01347492,31.95779384,31.39703899,31.12019427,35.88053132,33.77871053,31.82737363
RACEDISPARITY045011,"Barnwell County, SC",45011,26.3215599,26.57951363,29.97655672,32.40606046,27.81464726,28.96973978,32.9480718,26.28459034
RACEDISPARITY021009,"Barren County, KY",21009,42.43774159,43.88230491,42.63122423,30.01536657,27.14497235,27.83460815,27.79531538,32.66235356
RACEDISPARITY055005,"Barron County, WI",55005,32.68348308,47.38698658,37.77756898,34.7193746,28.36768918,30.4228517,34.00871231,28.47448473
RACEDISPARITY013013,"Barrow County, GA",13013,25.89312806,26.75407976,27.79531485,27.30041741,27.88309066,28.69280915,27.77149512,27.06836106
RACEDISPARITY026015,"Barry County, MI",26015,16.14250664,20.15902562,23.0869351,23.93999389,17.53629236,22.75118653,22.44361323,18.69105316
RACEDISPARITY029009,"Barry County, MO",29009,19.11477708,31.51282069,34.71095704,37.82689875,45.47346642,45.51105914,40.70283655,44.83810731
RACEDISPARITY018005,"Bartholomew County, IN",18005,33.06899267,35.75339605,34.56779578,28.61543657,27.84037964,25.18699411,27.01357085,24.22814395
RACEDISPARITY020009,"Barton County, KS",20009,33.28106391,36.20339177,34.38427414,41.52268893,50.24891604,49.65525698,37.65206795,38.21818553
RACEDISPARITY029011,"Barton County, MO",29011,32.80136766,45.98593311,7.85013431,10.68990736,19.29913815,21.52964059,28.23457136,26.96097224
RACEDISPARITY013015,"Bartow County, GA",13015,25.54534575,26.02964282,25.2787786,27.75739571,24.10322222,27.9525213,24.8515755,27.15614308
