Year,State_FIPS,County_FIPS,Region,Division,County_name,new_1_units,new_2_units,new_3to4_units,new_5_units,total_new_units
2000,13,271,South,South Atlantic,Telfair County                ,1,0,0,0,1
2000,13,273,South,South Atlantic,Terrell County                ,45,0,3,0,48
2000,13,275,South,South Atlantic,Thomas County                 ,192,0,0,0,192
2000,13,277,South,South Atlantic,Tift County                   ,116,0,0,0,116
2000,13,279,South,South Atlantic,Toombs County                 ,22,2,0,0,24
2000,13,281,South,South Atlantic,Towns County                  ,181,0,0,0,181
2000,13,283,South,South Atlantic,Treutlen County               ,0,0,0,0,0
2000,13,285,South,South Atlantic,Troup County                  ,324,4,0,262,590
2000,13,287,South,South Atlantic,Turner County                 ,1,0,3,0,4
2000,13,289,South,South Atlantic,Twiggs County                 ,22,0,0,0,22
2000,13,291,South,South Atlantic,Union County                  ,399,2,0,0,401
2000,13,293,South,South Atlantic,Upson County                  ,133,2,3,0,138
2000,13,295,South,South Atlantic,Walker County                 ,294,22,12,6,334
2000,13,297,South,South Atlantic,Walton County                 ,1195,38,8,0,1241
2000,13,299,South,South Atlantic,Ware County                   ,67,0,0,0,67
2000,13,301,South,South Atlantic,Warren County                 ,0,0,0,0,0
2000,13,303,South,South Atlantic,Washington County             ,13,0,0,0,13
2000,13,305,South,South Atlantic,Wayne County                  ,9,4,0,0,13
2000,13,309,South,South Atlantic,Wheeler County                ,0,0,0,0,0
2000,13,311,South,South Atlantic,White County                  ,312,0,3,0,315
2000,13,313,South,South Atlantic,Whitfield County              ,367,12,70,427,876
2000,13,315,South,South Atlantic,Wilcox County                 ,0,0,0,0,0
2000,13,317,South,South Atlantic,Wilkes County                 ,13,0,0,0,13
2000,13,321,South,South Atlantic,Worth County                  ,44,0,0,0,44
2000,15,1,West,Pacific,Hawaii County                 ,1356,0,31,116,1503
2000,15,3,West,Pacific,Honolulu County               ,1732,4,0,233,1969
2000,15,7,West,Pacific,Kauai County                  ,263,0,0,27,290
2000,15,9,West,Pacific,Maui County                   ,904,38,67,134,1143
2000,16,1,West,Mountain,Ada County                    ,3625,48,204,122,3999
2000,16,3,West,Mountain,Adams County                  ,43,0,0,0,43
2000,16,5,West,Mountain,Bannock County                ,227,8,0,0,235
2000,16,7,West,Mountain,Bear Lake County              ,71,0,0,0,71
2000,16,9,West,Mountain,Benewah County                ,18,0,0,0,18
2000,16,11,West,Mountain,Bingham County                ,104,4,4,0,112
2000,16,13,West,Mountain,Blaine County                 ,241,20,3,133,397
